City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Nijar,ES,26.8,clear sky,36.9665,-2.206,La Casa del Cine
4,Georgetown,MY,28.83,few clouds,5.4112,100.3354,Cititel Penang
7,Kapaa,US,28.99,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
9,Vila Franca Do Campo,PT,22.23,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
19,Hilo,US,27.92,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
20,Avarua,CK,25.03,few clouds,-21.2078,-159.775,Paradise Inn
25,Rikitea,PF,22.79,broken clouds,-23.1203,-134.9692,People ThankYou
36,Koundara,GN,24.33,light rain,12.4833,-13.3,Residance B....
43,Atuona,PF,25.1,scattered clouds,-9.8,-139.0333,Villa Enata
44,Kavieng,PG,27.17,light rain,-2.5744,150.7967,Nusa Island Retreat
46,Jalaun,IN,28.72,scattered clouds,26.1451,79.3366,Muskan maiching Center
47,Kahului,US,29.36,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
48,Thompson,CA,27.74,clear sky,55.7435,-97.8558,Burntwood Hotel
52,Albany,US,28.77,overcast clouds,42.6001,-73.9662,
58,Cabedelo,BR,27.37,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
59,Hambantota,LK,25.96,overcast clouds,6.1241,81.1185,Bungalow 63
61,Vaini,TO,23.43,overcast clouds,-21.2,-175.2,Keleti Beach Resort
62,Kenitra,MA,23.42,broken clouds,34.261,-6.5802,Bienvenue chez vous
65,Hasaki,JP,27.38,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
67,Lazaro Cardenas,MX,29.0,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
68,Puerto Ayora,EC,25.98,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
69,Ellsworth,US,23.86,overcast clouds,44.5434,-68.4195,Hampton Inn Ellsworth/Bar Harbor
71,Broome,US,28.72,clear sky,42.2506,-75.833,Chenango Valley State Park
72,Salalah,OM,25.11,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
77,Daurala,IN,26.0,clear sky,29.1167,77.6833,Deepak Bairagi
79,La Ronge,CA,28.26,broken clouds,55.1001,-105.2842,Northland Motor Hotel
80,Nouakchott,MR,29.96,overcast clouds,18.0858,-15.9785,HOTEL IMAN
82,Yumen,CN,25.46,clear sky,40.2833,97.2,
83,Victoria,HK,27.4,overcast clouds,22.2855,114.1577,Mini Central
84,Bengkulu,ID,24.51,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
89,Bata,GQ,24.64,overcast clouds,1.8639,9.7658,Hotel Elik Melen
98,Atkinson,US,29.14,overcast clouds,42.8384,-71.147,Atkinson Resort & Country Club
100,Asadabad,IR,25.82,clear sky,34.7824,48.1185,کامپیوتر صادق
101,Ribeira Grande,PT,25.22,few clouds,38.5167,-28.7,Quinta da Meia Eira
102,Kieta,PG,26.55,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
106,Ixtapa,MX,29.24,light rain,20.7,-105.2,hotel la terminal
109,Virden,US,29.28,scattered clouds,39.5009,-89.7679,Virden Nail Spa
112,The Valley,AI,29.9,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
116,Hamilton,US,29.56,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
124,Hami,CN,29.96,scattered clouds,42.8,93.45,Laoyutang Resort
125,Segou,ML,27.68,light rain,13.4317,-6.2157,Comme chez soi
127,Lompoc,US,26.03,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
129,Puerto Ayacucho,VE,29.07,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
130,Morehead,US,29.36,broken clouds,37.2711,-87.1764,CCI Express Inn
131,Griffith,US,26.17,clear sky,41.5284,-87.4237,Apartment above Depot Bar
132,Wanning,CN,26.23,overcast clouds,18.8003,110.3967,Paradise Hotel
135,Kashi,CN,26.76,broken clouds,39.4547,75.9797,帕米尔青年旅舍
137,Aitape,PG,24.82,broken clouds,-3.1374,142.3475,
139,Lixourion,GR,26.23,clear sky,38.2019,20.4314,Hotel Summery
141,Tambacounda,SN,26.04,light rain,13.7539,-13.7586,
144,Dahod,IN,24.24,overcast clouds,22.8333,74.2667,Hotel Laxmi Inn
145,Waingapu,ID,24.39,few clouds,-9.6567,120.2641,Pondok Wisata Elim
