,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Hobart,-42.8794,147.3294,6.14,90,0,0.0,AU,2022-08-11 20:59:14,clear sky
1,Nijar,36.9665,-2.206,26.8,54,0,1.54,ES,2022-08-11 20:59:15,clear sky
2,Tuktoyaktuk,69.4541,-133.0374,12.0,82,75,7.72,CA,2022-08-11 20:59:15,broken clouds
3,Henties Bay,-22.116,14.2845,12.44,91,1,4.39,NA,2022-08-11 20:59:16,clear sky
4,Georgetown,5.4112,100.3354,28.83,90,20,1.03,MY,2022-08-11 20:57:47,few clouds
5,Adrar,20.5022,-10.0711,37.64,24,0,2.61,MR,2022-08-11 20:59:16,clear sky
6,Busselton,-33.65,115.3333,9.63,89,2,4.79,AU,2022-08-11 20:59:17,clear sky
7,Kapaa,22.0752,-159.319,28.99,72,70,2.24,US,2022-08-11 20:59:17,broken clouds
8,Kruisfontein,-34.0033,24.7314,13.27,92,100,0.95,ZA,2022-08-11 20:59:18,overcast clouds
9,Vila Franca Do Campo,37.7167,-25.4333,22.23,85,49,3.27,PT,2022-08-11 20:59:18,scattered clouds
10,Krasnaya Gorka,55.1962,56.6673,12.26,86,45,1.67,RU,2022-08-11 20:59:18,scattered clouds
11,Waiuku,-37.25,174.75,9.62,75,6,0.76,NZ,2022-08-11 20:59:19,clear sky
12,Mataura,-46.1927,168.8643,0.32,84,20,1.2,NZ,2022-08-11 20:59:19,few clouds
13,Rowlett,32.9029,-96.5639,37.61,44,40,3.6,US,2022-08-11 20:58:11,scattered clouds
14,Tuatapere,-46.1333,167.6833,2.12,79,3,2.14,NZ,2022-08-11 20:55:58,clear sky
15,Lata,40.1629,-8.3327,16.28,91,0,0.83,PT,2022-08-11 20:59:19,clear sky
16,Provideniya,64.3833,-173.3,9.09,100,100,2.0,RU,2022-08-11 20:59:20,fog
17,Bethel,41.3712,-73.414,31.56,48,100,1.63,US,2022-08-11 20:59:20,overcast clouds
18,Robe,-37.1833,139.75,9.31,92,100,5.21,AU,2022-08-11 20:59:21,moderate rain
19,Hilo,19.7297,-155.09,27.92,93,78,0.89,US,2022-08-11 20:59:21,broken clouds
20,Avarua,-21.2078,-159.775,25.03,73,20,6.17,CK,2022-08-11 20:54:39,few clouds
21,Ushuaia,-54.8,-68.3,3.79,87,75,2.06,AR,2022-08-11 20:59:22,broken clouds
22,Whitehorse,60.7161,-135.0538,15.05,82,100,5.66,CA,2022-08-11 20:59:18,overcast clouds
23,Kodiak,57.79,-152.4072,12.73,94,100,3.6,US,2022-08-11 20:59:22,mist
24,Castro,-24.7911,-50.0119,10.23,68,0,2.06,BR,2022-08-11 20:59:23,clear sky
25,Rikitea,-23.1203,-134.9692,22.79,71,69,9.71,PF,2022-08-11 20:59:23,broken clouds
26,Asau,46.4333,26.4,16.51,74,39,2.33,RO,2022-08-11 20:59:23,light rain
27,Parrita,9.5201,-84.3225,32.36,78,100,1.67,CR,2022-08-11 20:59:24,overcast clouds
28,Smolenka,52.1352,113.4974,14.04,82,40,2.0,RU,2022-08-11 20:59:24,scattered clouds
29,Baruun-Urt,46.6806,113.2792,15.72,58,100,4.31,MN,2022-08-11 20:59:25,overcast clouds
30,Beloha,-25.1667,45.05,19.01,55,0,4.93,MG,2022-08-11 20:59:25,clear sky
31,Jaguaruna,-28.615,-49.0256,15.09,86,28,0.94,BR,2022-08-11 20:59:25,scattered clouds
32,Kharitonovo,61.4009,47.4978,15.67,70,100,3.85,RU,2022-08-11 20:59:26,overcast clouds
33,Tasiilaq,65.6145,-37.6368,2.59,84,26,0.94,GL,2022-08-11 20:55:57,scattered clouds
34,Hermanus,-34.4187,19.2345,15.45,76,100,6.01,ZA,2022-08-11 20:59:26,overcast clouds
35,Banyo,6.75,11.8167,18.06,96,100,1.25,CM,2022-08-11 20:59:27,overcast clouds
36,Koundara,12.4833,-13.3,24.33,96,79,2.21,GN,2022-08-11 20:59:27,light rain
37,Arraial Do Cabo,-22.9661,-42.0278,19.98,94,75,4.63,BR,2022-08-11 20:59:13,mist
38,Srednekolymsk,67.45,153.6833,18.0,75,79,3.1,RU,2022-08-11 20:59:28,broken clouds
39,Yar-Sale,66.8333,70.8333,13.86,80,100,6.04,RU,2022-08-11 20:59:28,overcast clouds
40,Miandrivazo,-19.5167,45.4667,20.22,65,0,0.91,MG,2022-08-11 20:59:29,clear sky
41,Churapcha,62.0025,132.4325,13.91,94,100,1.51,RU,2022-08-11 20:59:29,light rain
42,Nikolskoye,59.7035,30.7861,19.94,71,100,2.89,RU,2022-08-11 20:59:29,overcast clouds
43,Atuona,-9.8,-139.0333,25.1,68,40,11.41,PF,2022-08-11 20:59:30,scattered clouds
44,Kavieng,-2.5744,150.7967,27.17,79,95,5.75,PG,2022-08-11 20:59:30,light rain
45,Cabo San Lucas,22.8909,-109.9124,33.43,69,72,2.72,MX,2022-08-11 20:57:00,broken clouds
46,Jalaun,26.1451,79.3366,28.72,69,27,5.64,IN,2022-08-11 21:00:31,scattered clouds
47,Kahului,20.8947,-156.47,29.36,71,100,8.94,US,2022-08-11 21:00:31,overcast clouds
48,Thompson,55.7435,-97.8558,27.74,32,1,5.45,CA,2022-08-11 21:00:18,clear sky
49,Longonjo,-12.9067,15.2533,18.0,16,2,1.19,AO,2022-08-11 21:00:32,clear sky
50,Tokonou,9.65,-9.7833,20.76,98,90,2.47,GN,2022-08-11 21:00:32,light rain
51,Vardo,70.3705,31.1107,12.99,76,75,6.69,NO,2022-08-11 21:00:33,broken clouds
52,Albany,42.6001,-73.9662,28.77,52,94,0.45,US,2022-08-11 20:59:18,overcast clouds
53,Safranbolu,41.2508,32.6942,17.08,96,7,0.72,TR,2022-08-11 21:00:33,clear sky
54,Kaitangata,-46.2817,169.8464,1.08,83,11,2.76,NZ,2022-08-11 21:00:34,few clouds
55,Bilma,18.6853,12.9164,35.78,9,26,4.0,NE,2022-08-11 21:00:30,scattered clouds
56,Port Alfred,-33.5906,26.891,16.91,82,89,2.88,ZA,2022-08-11 21:00:34,overcast clouds
57,Great Falls,47.5002,-111.3008,33.7,16,55,5.7,US,2022-08-11 21:00:32,broken clouds
58,Cabedelo,-6.9811,-34.8339,27.37,78,44,3.49,BR,2022-08-11 20:58:38,scattered clouds
59,Hambantota,6.1241,81.1185,25.96,86,100,8.52,LK,2022-08-11 21:00:35,overcast clouds
60,New Norfolk,-42.7826,147.0587,5.95,84,97,0.47,AU,2022-08-11 21:00:36,overcast clouds
61,Vaini,-21.2,-175.2,23.43,64,98,6.77,TO,2022-08-11 21:00:36,overcast clouds
62,Kenitra,34.261,-6.5802,23.42,76,60,2.27,MA,2022-08-11 21:00:37,broken clouds
63,Chuy,-33.6971,-53.4616,11.96,84,6,2.22,UY,2022-08-11 21:00:37,clear sky
64,Yabelo,4.8833,38.0833,15.96,67,100,3.87,ET,2022-08-11 21:00:38,overcast clouds
65,Hasaki,35.7333,140.8333,27.38,83,19,11.14,JP,2022-08-11 21:00:38,few clouds
66,Riohacha,11.5444,-72.9072,30.11,67,59,5.25,CO,2022-08-11 21:00:39,broken clouds
67,Lazaro Cardenas,17.9583,-102.2,29.0,69,100,2.46,MX,2022-08-11 20:59:55,overcast clouds
68,Puerto Ayora,-0.7393,-90.3518,25.98,97,100,3.13,EC,2022-08-11 20:56:01,overcast clouds
69,Ellsworth,44.5434,-68.4195,23.86,79,100,0.45,US,2022-08-11 20:58:33,overcast clouds
70,Sakakah,29.9697,40.2064,34.61,25,0,3.89,SA,2022-08-11 21:00:40,clear sky
71,Broome,42.2506,-75.833,28.72,42,3,3.58,US,2022-08-11 21:00:40,clear sky
72,Salalah,17.0151,54.0924,25.11,89,97,4.43,OM,2022-08-11 21:00:41,overcast clouds
73,College,64.8569,-147.8028,20.0,53,7,1.28,US,2022-08-11 21:00:41,clear sky
74,Pochutla,15.7432,-96.4661,30.45,59,100,3.23,MX,2022-08-11 20:59:45,overcast clouds
75,Saint-Augustin,51.226,-58.6502,17.44,85,100,6.85,CA,2022-08-11 21:00:42,overcast clouds
76,Ust-Kuyga,70.0167,135.6,10.22,78,100,3.21,RU,2022-08-11 21:00:42,overcast clouds
77,Daurala,29.1167,77.6833,26.0,66,7,2.81,IN,2022-08-11 21:00:43,clear sky
78,Qaanaaq,77.484,-69.3632,3.93,72,96,2.77,GL,2022-08-11 21:00:43,overcast clouds
79,La Ronge,55.1001,-105.2842,28.26,33,68,4.18,CA,2022-08-11 21:00:43,broken clouds
80,Nouakchott,18.0858,-15.9785,29.96,81,100,6.55,MR,2022-08-11 21:00:44,overcast clouds
81,Aparecida Do Taboado,-20.0867,-51.0936,19.84,46,0,3.04,BR,2022-08-11 21:00:44,clear sky
82,Yumen,40.2833,97.2,25.46,30,0,7.5,CN,2022-08-11 21:00:45,clear sky
83,Victoria,22.2855,114.1577,27.4,92,100,3.58,HK,2022-08-11 20:58:28,overcast clouds
84,Bengkulu,-3.8004,102.2655,24.51,91,43,1.61,ID,2022-08-11 21:00:46,scattered clouds
85,Norman Wells,65.282,-126.8329,21.68,27,90,1.78,CA,2022-08-11 21:00:46,overcast clouds
86,Fairbanks,64.8378,-147.7164,20.33,51,0,1.54,US,2022-08-11 20:56:54,clear sky
87,Coihaique,-45.5752,-72.0662,4.48,97,99,2.36,CL,2022-08-11 21:00:46,overcast clouds
88,Katherine,-14.4667,132.2667,21.18,64,1,3.09,AU,2022-08-11 20:56:26,clear sky
89,Bata,1.8639,9.7658,24.64,86,100,3.53,GQ,2022-08-11 21:00:47,overcast clouds
90,Port Elizabeth,-33.918,25.5701,14.5,87,100,1.72,ZA,2022-08-11 21:00:15,overcast clouds
91,Punta Arenas,-53.15,-70.9167,3.95,64,76,3.35,CL,2022-08-11 21:00:48,broken clouds
92,Airai,-8.9266,125.4092,13.72,93,55,1.51,TL,2022-08-11 21:01:48,broken clouds
93,Upernavik,72.7868,-56.1549,5.62,79,100,4.46,GL,2022-08-11 21:01:49,overcast clouds
94,Dali,25.7,100.1833,17.43,89,93,1.34,CN,2022-08-11 21:01:49,overcast clouds
95,Cidreira,-30.1811,-50.2056,15.2,85,1,3.22,BR,2022-08-11 20:57:27,clear sky
96,Barrow,71.2906,-156.7887,8.01,93,100,9.26,US,2022-08-11 21:01:50,overcast clouds
97,Iqaluit,63.7506,-68.5145,11.85,62,20,2.57,CA,2022-08-11 20:59:40,few clouds
98,Atkinson,42.8384,-71.147,29.14,61,100,1.34,US,2022-08-11 21:01:50,overcast clouds
99,Aklavik,68.2191,-135.0107,18.69,40,14,4.09,CA,2022-08-11 21:01:51,few clouds
100,Asadabad,34.7824,48.1185,25.82,30,2,2.23,IR,2022-08-11 21:01:51,clear sky
101,Ribeira Grande,38.5167,-28.7,25.22,73,20,5.14,PT,2022-08-11 21:01:51,few clouds
102,Kieta,-6.2167,155.6333,26.55,79,100,0.78,PG,2022-08-11 21:01:52,overcast clouds
103,Ongandjera,-17.8833,15.0667,20.37,13,4,3.21,NA,2022-08-11 21:01:52,clear sky
104,Mahebourg,-20.4081,57.7,20.14,66,85,7.13,MU,2022-08-11 21:01:36,overcast clouds
105,Huarmey,-10.0681,-78.1522,19.72,72,15,4.57,PE,2022-08-11 21:01:53,few clouds
106,Ixtapa,20.7,-105.2,29.24,76,99,2.14,MX,2022-08-11 21:00:17,light rain
107,Vao,-22.6667,167.4833,19.98,58,16,8.36,NC,2022-08-11 21:01:53,few clouds
108,Barcelos,41.5388,-8.6151,20.38,86,0,0.42,PT,2022-08-11 21:01:54,clear sky
109,Virden,39.5009,-89.7679,29.28,65,28,1.16,US,2022-08-11 21:01:54,scattered clouds
110,Vanavara,60.34,102.2797,8.99,95,19,1.3,RU,2022-08-11 21:01:55,few clouds
111,Chumikan,54.7183,135.315,12.38,97,100,2.02,RU,2022-08-11 21:01:55,overcast clouds
112,The Valley,18.217,-63.0578,29.9,76,73,6.62,AI,2022-08-11 21:01:56,broken clouds
